school_id,student_id,sex,yob,died_y3,married_y3,children_y3,preg_y3,dropout_y3,visit_month_y3,trt_school,died_y5,married_y5,children_y5,preg_y5,dropout_y5,visit_month_y5
1,160001,1,1989,.,.,.,.,1,9,1,.,.,.,.,1,3
1,160002,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160003,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160004,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160005,1,1990,0,0,1,1,1,9,1,0,1,1,1,1,3
1,160006,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160007,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160008,1,1990,0,0,0,0,0,9,1,0,0,1,1,0,3
1,160009,1,1989,0,1,1,1,1,9,1,0,1,1,1,1,3
1,160010,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160011,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160012,1,1989,0,0,0,0,0,9,1,0,0,0,1,0,3
1,160013,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160014,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160015,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160016,0,1989,0,0,.,.,0,9,1,.,.,.,.,1,3
1,160017,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160018,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160019,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160020,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160021,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
1,160022,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160023,1,1990,0,1,1,1,0,9,1,0,1,1,1,0,3
1,160024,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
1,160025,1,1989,0,1,0,1,1,9,1,0,1,1,1,1,3
1,160026,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
